2025-04-17 12:06:03.103166,Drowsy Detected,Yawning Detected
2025-04-17 12:06:03.455993,Not Drowsy,No Yawn
2025-04-17 12:06:03.710793,Not Drowsy,Yawning Detected
2025-04-17 12:30:47.000066,Drowsy,No Yawn
2025-04-17 12:30:48.256474,Not Drowsy,Yawn
2025-04-17 12:30:49.354725,Not Drowsy,No Yawn
2025-04-17 12:30:50.468868,Drowsy,No Yawn
2025-04-17 12:30:51.617061,Not Drowsy,No Yawn
2025-04-17 12:30:52.734441,Drowsy,No Yawn
2025-04-17 12:30:54.337326,Not Drowsy,No Yawn
2025-04-17 12:30:55.450440,Drowsy,Yawn
2025-04-17 12:30:56.552618,Drowsy,No Yawn
2025-04-17 12:30:57.667165,Not Drowsy,Yawn
2025-04-17 12:30:58.799354,Not Drowsy,No Yawn
2025-04-17 12:30:59.944043,Drowsy,No Yawn
2025-04-17 12:31:01.079822,Not Drowsy,No Yawn
2025-04-17 12:31:02.184562,Not Drowsy,Yawn
2025-04-17 12:31:03.280489,Not Drowsy,No Yawn
2025-04-17 12:31:04.382006,Not Drowsy,No Yawn
2025-04-17 12:31:05.478162,Not Drowsy,No Yawn
2025-04-17 12:31:06.578386,Not Drowsy,No Yawn
2025-04-17 12:31:07.744022,Not Drowsy,No Yawn
2025-04-17 12:31:08.847561,Not Drowsy,Yawn
2025-04-17 12:34:30.158063,Not Drowsy,Yawn
2025-04-17 12:34:31.371540,Not Drowsy,Yawn
2025-04-17 12:34:32.477439,Not Drowsy,No Yawn
2025-04-17 12:34:33.604498,Not Drowsy,Yawn
2025-04-17 12:34:34.728271,Drowsy,Yawn
2025-04-17 12:34:35.850572,Not Drowsy,No Yawn
2025-04-17 12:34:36.959085,Not Drowsy,Yawn
2025-04-17 12:34:38.858125,Drowsy,No Yawn
2025-04-17 12:34:39.970593,Not Drowsy,No Yawn
2025-04-17 12:34:41.081950,Not Drowsy,Yawn
2025-04-17 12:34:42.195437,Not Drowsy,Yawn
2025-04-17 12:34:43.359645,Not Drowsy,Yawn
2025-04-17 12:34:44.482521,Drowsy,Yawn
2025-04-17 12:34:45.590407,Drowsy,Yawn
2025-04-17 12:34:46.698429,Drowsy,No Yawn
2025-04-17 12:34:47.822161,Drowsy,No Yawn
2025-04-17 12:34:48.932343,Not Drowsy,Yawn
2025-04-17 12:34:50.042711,Drowsy,No Yawn
2025-04-17 12:34:51.151455,Drowsy,No Yawn
2025-04-17 12:34:52.360455,Drowsy,No Yawn
2025-04-17 12:35:21.730067,Not Drowsy,No Yawn
2025-04-17 12:35:22.888261,Not Drowsy,Yawn
2025-04-17 12:35:24.056925,Not Drowsy,Yawn
2025-04-17 12:35:25.191897,Drowsy,Yawn
2025-04-17 12:35:26.314085,Not Drowsy,Yawn
2025-04-17 12:35:27.437721,Not Drowsy,No Yawn
2025-04-17 12:35:28.562440,Not Drowsy,Yawn
2025-04-17 12:35:29.681351,Not Drowsy,No Yawn
2025-04-17 12:35:30.810389,Not Drowsy,Yawn
2025-04-17 12:35:31.972620,Drowsy,Yawn
2025-04-17 12:35:33.344184,Not Drowsy,No Yawn
2025-04-17 12:35:34.468938,Not Drowsy,No Yawn
2025-04-17 12:35:35.575461,Not Drowsy,Yawn
2025-04-17 12:35:36.698143,Not Drowsy,Yawn
2025-04-17 12:35:37.805154,Not Drowsy,Yawn
2025-04-17 12:35:38.914664,Drowsy,No Yawn
2025-04-17 12:35:40.021795,Not Drowsy,Yawn
2025-04-17 12:35:41.141717,Drowsy,Yawn
2025-04-17 12:35:42.252771,Not Drowsy,No Yawn
2025-04-17 12:35:43.376023,Drowsy,Yawn
2025-04-17 12:38:50.739281,Drowsy,No Yawn
2025-04-17 12:38:52.132411,Drowsy,No Yawn
2025-04-17 12:38:53.242096,Drowsy,No Yawn
2025-04-17 12:38:54.350084,Not Drowsy,No Yawn
2025-04-17 12:38:55.472448,Not Drowsy,No Yawn
2025-04-17 12:38:56.594868,Not Drowsy,Yawn
2025-04-17 12:38:57.708613,Drowsy,No Yawn
2025-04-17 12:38:58.833983,Drowsy,No Yawn
2025-04-17 12:38:59.957626,Not Drowsy,No Yawn
2025-04-17 12:39:01.085123,Drowsy,No Yawn
2025-04-17 12:39:02.189671,Not Drowsy,Yawn
2025-04-17 12:39:03.318216,Drowsy,Yawn
2025-04-17 12:39:04.423845,Drowsy,Yawn
2025-04-17 12:39:05.611902,Drowsy,Yawn
2025-04-17 12:39:06.720085,Drowsy,Yawn
2025-04-17 12:39:07.827697,Not Drowsy,No Yawn
2025-04-17 12:39:08.951759,Not Drowsy,Yawn
2025-04-17 12:39:10.062342,Drowsy,No Yawn
2025-04-17 12:39:11.196670,Not Drowsy,Yawn
2025-04-17 12:39:12.320212,Drowsy,Yawn
