2025-04-17 11:45:35.614073,Not Drowsy,No Yawn
2025-04-17 11:45:35.847351,Not Drowsy,No Yawn
2025-04-17 11:45:35.956369,Not Drowsy,No Yawn
2025-04-17 11:45:36.074283,Not Drowsy,Yawning Detected
2025-04-17 11:45:36.202692,Drowsy Detected,No Yawn
2025-04-17 11:45:36.354227,Drowsy Detected,No Yawn
2025-04-17 11:45:36.835478,Not Drowsy,Yawning Detected
2025-04-17 11:45:36.951514,Drowsy Detected,Yawning Detected
2025-04-17 11:45:37.065595,Not Drowsy,Yawning Detected
2025-04-17 11:45:37.273059,Not Drowsy,No Yawn
2025-04-17 11:45:37.546368,Drowsy Detected,No Yawn
2025-04-17 11:45:37.697348,Drowsy Detected,No Yawn
2025-04-17 11:45:37.862544,Not Drowsy,Yawning Detected
2025-04-17 11:45:38.005336,Not Drowsy,No Yawn
2025-04-17 11:45:38.175985,Drowsy Detected,No Yawn
2025-04-17 11:45:38.366090,Drowsy Detected,No Yawn
2025-04-17 11:45:38.663971,Not Drowsy,Yawning Detected
2025-04-17 11:45:38.813870,Not Drowsy,No Yawn
2025-04-17 11:45:39.101304,Not Drowsy,No Yawn
2025-04-17 11:45:39.266018,Not Drowsy,No Yawn
2025-04-17 12:05:59.501442,Not Drowsy,Yawning Detected
2025-04-17 12:05:59.703899,Not Drowsy,No Yawn
2025-04-17 12:05:59.890121,Not Drowsy,No Yawn
2025-04-17 12:06:00.059633,Drowsy Detected,No Yawn
2025-04-17 12:06:00.266556,Not Drowsy,No Yawn
2025-04-17 12:06:00.466245,Not Drowsy,Yawning Detected
2025-04-17 12:06:00.924523,Not Drowsy,No Yawn
2025-04-17 12:06:01.265543,Drowsy Detected,Yawning Detected
2025-04-17 12:06:01.447782,Drowsy Detected,No Yawn
2025-04-17 12:06:01.669580,Drowsy Detected,No Yawn
2025-04-17 12:06:01.820835,Not Drowsy,No Yawn
2025-04-17 12:06:01.967828,Not Drowsy,No Yawn
2025-04-17 12:06:02.138670,Drowsy Detected,No Yawn
2025-04-17 12:06:02.352807,Not Drowsy,No Yawn
2025-04-17 12:06:02.620864,Not Drowsy,Yawning Detected
2025-04-17 12:06:02.810882,Not Drowsy,Yawning Detected
2025-04-17 12:06:02.951492,Drowsy Detected,No Yawn
